Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
2932918383,L,OB,1,1,263,PASC634013,47,55:00.0,3,1:00,388,309,309
2932918392,L,OB,1,1,300,127846,56,36:00.0,3,14:00,875,875,875
2932918401,L,OB,1,7,3470,125225,59,50:00.0,3,1:00,847,830,830
2932918410,L,OB,1,1,180,134183,97,53:00.0,3,1:00,548,431,431
293291842X,L,OB,1,3,551,138220,35,39:00.0,3,1:00,347,347,347
2932918439,L,OB,1,3,856,133185,56,34:00.0,3,1:00,875,875,875
2932918457,L,OB,1,1,215,131399,85,18:00.0,4,2:00,123,123,123
2932918484,L,OB,1,1,75,136412,85,26:00.0,5,3:00,154,123,123
2932918493,L,OB,1,2,308,125939,64,48:00.0,5,3:00,879,873,873
2932918502,L,OB,1,1,208,128291,79,33:00.0,5,6:00,135,135,135
2932918520,L,OB,1,1,375,128543,54,06:00.0,6,5:00,841,841,841
293291853X,L,OB,1,1,218,121462,25,20:00.0,6,5:00,367,326,326
2932918549,L,OB,1,1,221,202759,61,04:00.0,6,5:00,890,890,890
2932918558,L,OB,1,1,225,138428,61,40:00.0,6,17:00,891,890,890
2932918567,L,OB,1,1,217,128543,54,14:00.0,6,5:00,841,841,841
2932918576,L,OB,1,1,65,138242,19,16:00.0,5,23:00,261,261,261
2932918585,L,OB,1,1,650,140025,68,39:00.0,7,4:00,152,153,153
2932918594,L,OB,1,1,77,133210,61,31:00.0,7,4:00,890,890,890
2932918603,L,OB,1,1,170,123382,83,09:00.0,7,10:00,237,123,123
2932918612,L,OB,1,1,250,134040,29,06:00.0,7,13:00,889,813,813
2932918621,L,OB,1,1,225,277996,16,54:00.0,7,4:00,272,272,272
2932918630,L,OB,1,1,217,127088,36,21:00.0,7,7:00,324,324,324
2932918630,L,OB,1,1,217,127088,36,21:00.0,7,7:00,324,324,324
293291864X,L,OB,1,1,250,135329,64,51:00.0,7,4:00,801,873,873
2932918659,L,OB,1,1,225,128714,79,16:00.0,3,2:00,158,135,135
2932918668,L,OB,1,1,230,131327,70,07:00.0,3,3:00,292,292,292
2932918677,L,OB,1,2,152,129585,36,14:00.0,3,2:00,324,324,324
2932918686,L,OB,1,1,225,138134,45,00:00.0,3,3:00,313,309,309
2932918695,L,OB,1,1,430,119394,42,17:00.0,3,2:00,213,213,213
2932918704,L,OB,1,1,225,126896,9,09:00.0,3,11:00,381,381,381
2932918713,L,OB,1,1,317,124123,58,03:00.0,3,3:00,875,875,875
2932918722,L,OB,1,4,2064,129585,36,10:00.0,3,2:00,324,324,324
2932918731,L,OB,1,1,92,202373,34,19:00.0,3,23:00,324,324,324
2932918740,L,OB,1,1,86,138066,37,58:00.0,4,0:00,642,642,642
